2023-11-01 09:40:00.036 INFO  org.apache.coyote.http11.Http11NioProtocol        :173  [32m                  [0;39m Starting ProtocolHandler ["http-nio-8080"]
2023-11-01 09:40:00.048 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer      :220  [32m                  [0;39m Tomcat started on port(s): 8080 (http) with context path ''
2023-11-01 09:40:00.057 INFO  com.gec.wiki.WikiApplication                      :61   [32m                  [0;39m Started WikiApplication in 2.499 seconds (JVM running for 3.209)
2023-11-01 09:40:00.060 INFO  com.gec.wiki.WikiApplication                      :18   [32m                  [0;39m 启动成功！！！
2023-11-01 09:40:00.060 INFO  com.gec.wiki.WikiApplication                      :19   [32m                  [0;39m 地址：127.0.0.1:8080
2023-11-01 09:40:15.451 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] :173  [32m                  [0;39m Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-01 09:40:15.452 INFO  org.springframework.web.servlet.DispatcherServlet :525  [32m                  [0;39m Initializing Servlet 'dispatcherServlet'
2023-11-01 09:40:15.453 INFO  org.springframework.web.servlet.DispatcherServlet :547  [32m                  [0;39m Completed initialization in 1 ms
2023-11-01 09:40:15.498 INFO  com.gec.wiki.aspect.LogAspect                     :52   [32m374734283853664256[0;39m ------------- 开始 -------------
2023-11-01 09:40:15.498 INFO  com.gec.wiki.aspect.LogAspect                     :53   [32m374734283853664256[0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2023-11-01 09:40:15.499 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m374734283853664256[0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2023-11-01 09:40:15.499 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m374734283853664256[0;39m 远程地址: 0:0:0:0:0:0:0:1
2023-11-01 09:40:15.539 INFO  com.gec.wiki.aspect.LogAspect                     :77   [32m374734283853664256[0;39m 请求参数: [{"page":1,"size":1000}]
2023-11-01 09:40:15.599 INFO  com.zaxxer.hikari.HikariDataSource                :110  [32m374734283853664256[0;39m HikariPool-1 - Starting...
2023-11-01 09:40:15.983 INFO  com.zaxxer.hikari.HikariDataSource                :123  [32m374734283853664256[0;39m HikariPool-1 - Start completed.
2023-11-01 09:40:16.021 INFO  com.gec.wiki.aspect.LogAspect                     :89   [32m374734283853664256[0;39m 返回结果: {"content":{"list":[{"category1Id":200,"category2Id":202,"cover":"/image/鲨鱼.png","description":"凶猛的大型食肉海洋动物","docCount":7,"id":1,"name":"鲨鱼","viewCount":1406,"voteCount":771},{"category1Id":100,"category2Id":101,"cover":"/image/沙丁鱼.png","description":"喜欢成群结队出没的小型海洋动物","docCount":1,"id":2,"name":"沙丁鱼","viewCount":6,"voteCount":2},{"category1Id":100,"category2Id":102,"cover":"/image/cover4.png","description":"八只触手的软体生物","docCount":1,"id":4,"name":"章鱼","viewCount":4,"voteCount":1},{"category1Id":1,"category2Id":1111,"cover":"/image/螃蟹.png","description":"个头很大爪子很长的螃蟹","docCount":0,"id":8,"name":"帝王蟹","viewCount":0,"voteCount":0},{"description":"鲈形目带鱼属的鱼类，俗称刀鱼","docCount":0,"id":9,"name":"带鱼","viewCount":0,"voteCount":0},{"description":"敏捷和活跃的肉食鱼类","docCount":0,"id":10,"name":"金枪鱼","viewCount":0,"voteCount":0},{"description":"被称为海洋里面的大熊猫","docCount":0,"id":11,"name":"虎鲸","viewCount":0,"voteCount":0},{"description":"肥肥胖胖的海洋哺乳动物","docCount":0,"id":12,"name":"海豹","viewCount":0,"voteCount":0},{"category1Id":200,"category2Id":202,"description":"有“海洋之舟”美称的游禽","docCount":0,"id":16,"name":"企鹅","viewCount":0,"voteCount":0},{"id":19,"name":"海狮"},{"category1Id":1,"category2Id":1,"cover":"/image/沙丁鱼.png","description":"1","id":23,"name":"1zjc"}],"total":11},"success":true}
2023-11-01 09:40:16.021 INFO  com.gec.wiki.aspect.LogAspect                     :90   [32m374734283853664256[0;39m ------------- 结束 耗时：524 ms -------------
2023-11-01 09:40:17.080 INFO  com.gec.wiki.aspect.LogAspect                     :52   [32m374734290493247488[0;39m ------------- 开始 -------------
2023-11-01 09:40:17.080 INFO  com.gec.wiki.aspect.LogAspect                     :53   [32m374734290493247488[0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2023-11-01 09:40:17.080 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m374734290493247488[0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2023-11-01 09:40:17.081 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m374734290493247488[0;39m 远程地址: 0:0:0:0:0:0:0:1
2023-11-01 09:40:17.081 INFO  com.gec.wiki.aspect.LogAspect                     :77   [32m374734290493247488[0;39m 请求参数: [{"page":1,"size":4}]
2023-11-01 09:40:17.087 INFO  com.gec.wiki.aspect.LogAspect                     :89   [32m374734290493247488[0;39m 返回结果: {"content":{"list":[{"category1Id":200,"category2Id":202,"cover":"/image/鲨鱼.png","description":"凶猛的大型食肉海洋动物","docCount":7,"id":1,"name":"鲨鱼","viewCount":1406,"voteCount":771},{"category1Id":100,"category2Id":101,"cover":"/image/沙丁鱼.png","description":"喜欢成群结队出没的小型海洋动物","docCount":1,"id":2,"name":"沙丁鱼","viewCount":6,"voteCount":2},{"category1Id":100,"category2Id":102,"cover":"/image/cover4.png","description":"八只触手的软体生物","docCount":1,"id":4,"name":"章鱼","viewCount":4,"voteCount":1},{"category1Id":1,"category2Id":1111,"cover":"/image/螃蟹.png","description":"个头很大爪子很长的螃蟹","docCount":0,"id":8,"name":"帝王蟹","viewCount":0,"voteCount":0}],"total":11},"success":true}
2023-11-01 09:40:17.087 INFO  com.gec.wiki.aspect.LogAspect                     :90   [32m374734290493247488[0;39m ------------- 结束 耗时：7 ms -------------
2023-11-01 09:40:23.811 INFO  com.gec.wiki.aspect.LogAspect                     :52   [32m374734318725107712[0;39m ------------- 开始 -------------
2023-11-01 09:40:23.812 INFO  com.gec.wiki.aspect.LogAspect                     :53   [32m374734318725107712[0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2023-11-01 09:40:23.812 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m374734318725107712[0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2023-11-01 09:40:23.812 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m374734318725107712[0;39m 远程地址: 0:0:0:0:0:0:0:1
2023-11-01 09:40:23.813 INFO  com.gec.wiki.aspect.LogAspect                     :77   [32m374734318725107712[0;39m 请求参数: [{"page":2,"size":4}]
2023-11-01 09:40:23.821 INFO  com.gec.wiki.aspect.LogAspect                     :89   [32m374734318725107712[0;39m 返回结果: {"content":{"list":[{"description":"鲈形目带鱼属的鱼类，俗称刀鱼","docCount":0,"id":9,"name":"带鱼","viewCount":0,"voteCount":0},{"description":"敏捷和活跃的肉食鱼类","docCount":0,"id":10,"name":"金枪鱼","viewCount":0,"voteCount":0},{"description":"被称为海洋里面的大熊猫","docCount":0,"id":11,"name":"虎鲸","viewCount":0,"voteCount":0},{"description":"肥肥胖胖的海洋哺乳动物","docCount":0,"id":12,"name":"海豹","viewCount":0,"voteCount":0}],"total":11},"success":true}
2023-11-01 09:40:23.822 INFO  com.gec.wiki.aspect.LogAspect                     :90   [32m374734318725107712[0;39m ------------- 结束 耗时：11 ms -------------
2023-11-01 09:40:48.057 INFO  com.gec.wiki.aspect.LogAspect                     :52   [32m374734420420202496[0;39m ------------- 开始 -------------
